Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
etios cross,2015,5421.69,9277.11,40588,Petrol,Dealer,Manual,0
fortuner,2014,22590.36,43325.3,78000,Diesel,Dealer,Automatic,0
fortuner,2015,28313.25,43325.3,47000,Diesel,Dealer,Automatic,0
fortuner,2017,39759.04,43650.6,6000,Diesel,Dealer,Automatic,0
etios liva,2014,5722.89,8373.49,45000,Diesel,Dealer,Manual,0
innova,2017,23795.18,27891.57,11000,Petrol,Dealer,Automatic,0
fortuner,2010,11144.58,24638.55,59000,Diesel,Dealer,Manual,0
corolla altis,2011,5240.96,16554.22,88000,Petrol,Dealer,Manual,0
corolla altis,2016,17168.67,25192.77,12000,Petrol,Dealer,Manual,0
etios liva,2014,4759.04,8144.58,71000,Diesel,Dealer,Manual,0
corolla altis,2011,5421.69,15036.14,45000,Diesel,Dealer,Manual,0
corolla altis,2013,8975.9,22421.69,56001,Petrol,Dealer,Manual,0
etios liva,2011,3192.77,6879.52,43000,Petrol,Dealer,Manual,0
etios cross,2014,5903.61,10759.04,83000,Diesel,Dealer,Manual,0
etios g,2015,4759.04,8192.77,36000,Petrol,Dealer,Manual,0
corolla altis,2013,6626.51,17686.75,72000,Petrol,Dealer,Manual,0
corolla,2004,1807.23,14879.52,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,6325.3,27506.02,80000,Petrol,Dealer,Automatic,0
fortuner,2012,17469.88,36879.52,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,17746.99,17939.76,23000,Diesel,Dealer,Manual,0
etios gd,2015,5722.89,9457.83,40000,Diesel,Dealer,Manual,0
innova,2017,27710.84,30590.36,15000,Diesel,Dealer,Automatic,0
innova,2015,15060.24,16216.87,38000,Diesel,Dealer,Manual,0
innova,2005,4204.82,16216.87,197176,Diesel,Dealer,Manual,0
camry,2006,3012.05,28590.36,142000,Petrol,Individual,Automatic,3
land cruiser,2010,42168.67,111566.27,78000,Diesel,Dealer,Manual,0
corolla altis,2012,7108.43,16554.22,56000,Petrol,Dealer,Manual,0
etios liva,2013,4156.63,7289.16,47000,Petrol,Dealer,Manual,0
etios g,2014,5722.89,8144.58,40000,Petrol,Dealer,Manual,0
corolla altis,2009,4578.31,22421.69,62000,Petrol,Dealer,Manual,0
innova,2014,13554.22,19385.54,58242,Diesel,Dealer,Manual,0
innova,2005,4228.92,16506.02,75000,Petrol,Dealer,Manual,0
fortuner,2015,27710.84,36879.52,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4819.28,27445.78,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,7048.19,22421.69,72000,Petrol,Dealer,Manual,0
innova,2016,25000.0,30590.36,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,20481.93,22457.83,8700,Petrol,Dealer,Manual,0
corolla altis,2013,8493.98,22421.69,45000,Petrol,Dealer,Manual,0
fortuner,2010,11626.51,24638.55,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,2108.43,2289.16,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,2048.19,2192.77,1400,Petrol,Individual,Manual,0
KTM RC200,2017,1987.95,2144.58,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,1746.99,1927.71,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1626.51,1771.08,4100,Petrol,Individual,Manual,0
KTM RC390,2015,1626.51,2855.42,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,1626.51,4156.63,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,1506.02,1807.23,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1445.78,1807.23,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1445.78,1771.08,11000,Petrol,Individual,Manual,0
KTM RC200,2016,1445.78,2144.58,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1385.54,1807.23,8700,Petrol,Individual,Manual,0
KTM 390 Duke ,2014,1385.54,2891.57,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,1385.54,1686.75,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1385.54,1771.08,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1337.35,1771.08,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1325.3,1771.08,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,1325.3,2289.16,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1325.3,1771.08,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,1265.06,2289.16,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,1265.06,1518.07,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,1265.06,1807.23,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,1265.06,1409.64,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1204.82,1771.08,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,1144.58,2108.43,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,1084.34,2108.43,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,1084.34,1144.58,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,903.61,963.86,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,963.86,1048.19,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,939.76,1012.05,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,903.61,1048.19,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,903.61,987.95,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,903.61,1144.58,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,867.47,1144.58,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,783.13,975.9,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,783.13,891.57,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,783.13,1445.78,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,783.13,948.19,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,722.89,1048.19,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,722.89,1144.58,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,722.89,1445.78,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,722.89,963.86,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,722.89,1012.05,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,722.89,1012.05,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,722.89,1192.77,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,722.89,975.9,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,662.65,948.19,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,662.65,1012.05,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,626.51,1132.53,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,614.46,1132.53,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,602.41,995.18,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,602.41,662.65,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,602.41,1192.77,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,602.41,1192.77,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,602.41,1060.24,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,578.31,614.46,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,578.31,626.51,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,578.31,1012.05,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,578.31,650.6,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,542.17,614.46,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,542.17,1144.58,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,542.17,995.18,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,542.17,1192.77,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,542.17,1144.58,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,542.17,650.6,14000,Petrol,Individual,Manual,0
Activa 3g,2016,542.17,650.6,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,542.17,662.65,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,506.02,975.9,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,506.02,879.52,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,481.93,650.6,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,481.93,1000.0,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,481.93,662.65,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,481.93,771.08,13700,Petrol,Individual,Manual,0
Activa 4g,2017,481.93,614.46,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,457.83,867.47,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,457.83,948.19,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,421.69,1265.06,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,421.69,686.75,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,421.69,626.51,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,373.49,1265.06,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,361.45,614.46,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,361.45,578.31,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,361.45,698.8,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,325.3,566.27,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,301.2,903.61,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,301.2,698.8,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,301.2,626.51,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,301.2,614.46,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,301.2,686.75,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,240.96,686.75,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,240.96,903.61,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,240.96,686.75,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,240.96,903.61,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,240.96,783.13,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,240.96,948.19,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,216.87,385.54,35000,Petrol,Individual,Manual,0
Activa 3g,2008,204.82,626.51,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,192.77,614.46,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,180.72,686.75,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,144.58,698.8,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,120.48,903.61,92233,Petrol,Individual,Manual,0
i20,2010,3915.66,8180.72,58000,Diesel,Dealer,Manual,1
grand i10,2015,5301.2,6867.47,28200,Petrol,Dealer,Manual,0
i10,2011,3554.22,5542.17,53460,Petrol,Dealer,Manual,0
eon,2015,3313.25,5337.35,28282,Petrol,Dealer,Manual,0
grand i10,2016,6325.3,6867.47,3493,Petrol,Dealer,Manual,1
xcent,2017,6927.71,8590.36,12479,Petrol,Dealer,Manual,0
grand i10,2015,6204.82,6867.47,34797,Petrol,Dealer,Automatic,0
i20,2017,9518.07,9759.04,3435,Petrol,Dealer,Manual,0
grand i10,2015,5843.37,6867.47,21125,Diesel,Dealer,Manual,0
i10,2012,3734.94,5542.17,35775,Petrol,Dealer,Manual,0
elantra,2015,14156.63,17819.28,43535,Diesel,Dealer,Manual,0
creta,2016,13554.22,16385.54,22671,Petrol,Dealer,Manual,0
i20,2011,3493.98,8180.72,31604,Petrol,Dealer,Manual,0
grand i10,2017,6325.3,6867.47,20114,Petrol,Dealer,Manual,0
verna,2012,5421.69,11325.3,36100,Petrol,Dealer,Manual,0
eon,2016,3493.98,5337.35,12500,Petrol,Dealer,Manual,0
eon,2016,3795.18,5337.35,15000,Petrol,Dealer,Manual,0
verna,2014,7771.08,11325.3,45078,Petrol,Dealer,Manual,0
verna,2012,5421.69,11325.3,36000,Petrol,Dealer,Manual,0
eon,2017,4216.87,5337.35,38488,Petrol,Dealer,Manual,0
i20,2013,5421.69,8180.72,32000,Petrol,Dealer,Automatic,0
i20,2014,7228.92,9156.63,77632,Diesel,Dealer,Manual,0
verna,2015,9939.76,11325.3,61381,Diesel,Dealer,Manual,0
verna,2013,6156.63,11325.3,36198,Petrol,Dealer,Automatic,0
i10,2011,3253.01,5542.17,22517,Petrol,Dealer,Manual,0
grand i10,2015,6325.3,6867.47,24678,Petrol,Dealer,Manual,0
i10,2011,3072.29,5337.35,57000,Petrol,Dealer,Manual,0
verna,2012,5963.86,11325.3,60000,Diesel,Dealer,Manual,0
i20,2012,3734.94,8180.72,52132,Diesel,Dealer,Manual,0
verna,2013,7409.64,11325.3,45000,Diesel,Dealer,Manual,0
verna,2017,11144.58,11325.3,15001,Petrol,Dealer,Manual,0
elantra,2015,13795.18,17819.28,12900,Petrol,Dealer,Automatic,0
grand i10,2013,4698.8,6867.47,53000,Diesel,Dealer,Manual,0
grand i10,2015,6626.51,6867.47,4492,Petrol,Dealer,Manual,0
verna,2017,10963.86,11325.3,15141,Petrol,Dealer,Manual,0
eon,2016,3734.94,5337.35,11849,Petrol,Dealer,Manual,0
creta,2015,13554.22,16385.54,68000,Diesel,Dealer,Manual,0
verna,2013,5783.13,11325.3,60241,Petrol,Dealer,Manual,0
eon,2012,2409.64,5337.35,23709,Petrol,Dealer,Manual,0
verna,2012,6445.78,11325.3,32322,Diesel,Dealer,Manual,0
xcent,2015,5722.89,8590.36,35866,Petrol,Dealer,Manual,1
xcent,2014,5301.2,8590.36,34000,Petrol,Dealer,Manual,0
i20,2016,7530.12,9156.63,7000,Petrol,Dealer,Manual,0
verna,2013,7168.67,11325.3,49000,Diesel,Dealer,Manual,0
verna,2012,6265.06,11325.3,71000,Diesel,Dealer,Manual,0
i20,2012,4518.07,8180.72,35000,Petrol,Dealer,Manual,0
verna,2015,7168.67,11325.3,36000,Petrol,Dealer,Manual,0
i10,2013,4819.28,5542.17,30000,Petrol,Dealer,Manual,0
i20,2016,6325.3,9156.63,17000,Petrol,Dealer,Manual,0
creta,2016,15542.17,16385.54,35934,Diesel,Dealer,Manual,0
city,2013,6024.1,11927.71,56701,Petrol,Dealer,Manual,0
brio,2015,6506.02,8216.87,31427,Petrol,Dealer,Automatic,0
city,2014,8674.7,11927.71,48000,Diesel,Dealer,Manual,0
city,2013,6325.3,11927.71,54242,Petrol,Dealer,Manual,0
brio,2012,3614.46,6445.78,53675,Petrol,Dealer,Manual,0
city,2016,12349.4,16385.54,49562,Petrol,Dealer,Manual,0
city,2015,10240.96,16385.54,40324,Petrol,Dealer,Manual,0
city,2015,10120.48,16385.54,25000,Petrol,Dealer,Manual,0
amaze,2014,4698.8,8433.73,36054,Petrol,Dealer,Manual,0
city,2016,11024.1,16385.54,29223,Petrol,Dealer,Manual,0
brio,2016,6626.51,7192.77,5600,Petrol,Dealer,Manual,0
amaze,2015,4819.28,6987.95,40023,Petrol,Dealer,Manual,0
jazz,2016,7951.81,9277.11,16002,Petrol,Dealer,Manual,0
amaze,2015,4819.28,8433.73,40026,Petrol,Dealer,Manual,0
jazz,2017,7831.33,10481.93,21200,Petrol,Dealer,Manual,0
amaze,2014,4397.59,8433.73,35000,Petrol,Dealer,Manual,0
city,2016,10060.24,11325.3,19434,Diesel,Dealer,Manual,0
brio,2017,5783.13,6987.95,19000,Petrol,Dealer,Manual,0
city,2015,8072.29,12048.19,18828,Petrol,Dealer,Manual,0
city,2011,4939.76,12048.19,69341,Petrol,Dealer,Manual,0
city,2009,3614.46,12048.19,69562,Petrol,Dealer,Manual,0
city,2015,9036.14,12048.19,27600,Petrol,Dealer,Manual,0
jazz,2010,2710.84,9036.14,61203,Petrol,Dealer,Manual,0
brio,2014,6385.54,8192.77,16500,Petrol,Dealer,Manual,0
city,2016,13132.53,16385.54,30753,Petrol,Dealer,Automatic,0
city,2015,10421.69,16385.54,24800,Petrol,Dealer,Manual,0
city,2015,11686.75,16385.54,21780,Petrol,Dealer,Manual,0
jazz,2016,7228.92,10120.48,4000,Petrol,Dealer,Manual,0
city,2014,7530.12,16385.54,40126,Petrol,Dealer,Manual,0
brio,2015,6325.3,7108.43,14465,Petrol,Dealer,Manual,0
city,2006,2530.12,9156.63,50456,Petrol,Dealer,Manual,0
city,2014,9939.76,16867.47,63000,Diesel,Dealer,Manual,0
city,2016,10831.33,14216.87,9010,Petrol,Dealer,Manual,0
brio,2013,4216.87,7108.43,9800,Petrol,Dealer,Manual,0
jazz,2016,8915.66,10240.96,15059,Petrol,Dealer,Automatic,0
jazz,2016,6807.23,9518.07,28569,Petrol,Dealer,Manual,0
amaze,2015,6927.71,9036.14,44000,Petrol,Dealer,Automatic,0
city,2015,10120.48,16385.54,34000,Petrol,Dealer,Manual,0
city,2016,12180.72,16385.54,10980,Petrol,Dealer,Manual,0
amaze,2014,5421.69,7710.84,19000,Petrol,Dealer,Manual,0
brio,2015,6506.02,7349.4,31427,Petrol,Dealer,Manual,0
jazz,2016,7710.84,10120.48,12000,Petrol,Dealer,Manual,0
city,2010,3915.66,11927.71,38000,Petrol,Dealer,Manual,0
amaze,2014,4518.07,8192.77,33019,Petrol,Dealer,Manual,0
city,2015,10301.2,15771.08,60076,Diesel,Dealer,Manual,0
city,2016,11445.78,13975.9,33988,Diesel,Dealer,Manual,0
brio,2015,4819.28,7108.43,60000,Petrol,Dealer,Manual,0
city,2009,4036.14,13253.01,87934,Petrol,Dealer,Manual,0
city,2017,13855.42,15060.24,9000,Diesel,Dealer,Manual,0
brio,2016,6385.54,7108.43,5464,Petrol,Dealer,Manual,0
tata altroz,2023,11266.54,13208.0,14884,Petrol,Individual,Manual,0
volkswagen polo,2014,2128.69,2486.64,112504,Petrol,Dealer,Manual,0
volkswagen atlas,2016,3565.02,4599.37,122878,Diesel,Dealer,Manual,1
volkswagen polo,2021,11543.2,13436.89,42523,Diesel,Dealer,Manual,0
mazda mazda6,2019,9438.55,11132.83,80387,CNG,Individual,Automatic,0
mahindra kuv100,2014,1784.82,1949.07,93656,Petrol,Dealer,Automatic,0
ford f-150,2008,636.14,771.18,235349,Petrol,Individual,Automatic,0
volkswagen arteon,2021,12323.84,13786.97,42943,Petrol,Individual,Manual,0
nissan pathfinder,2023,14763.24,17158.11,17762,Petrol,Individual,Manual,0
toyota highlander,2018,8889.66,11104.83,122863,Diesel,Dealer,Manual,0
volkswagen passat,2019,4785.73,5569.23,64602,Petrol,Individual,Manual,0
toyota sequoia,2019,7422.4,8041.09,35267,Petrol,Dealer,Manual,0
mahindra marazzo,2013,2456.98,3189.95,118450,Petrol,Dealer,Manual,0
gmc sierra,2023,9083.09,10151.98,21306,Petrol,Individual,Manual,0
tata altroz,2011,2127.16,2628.78,189332,CNG,Dealer,Automatic,0
kia sorento,2021,5656.64,6214.43,37528,Diesel,Individual,Manual,0
tata harrier,2021,10735.0,11619.01,54272,Diesel,Dealer,Manual,1
toyota prius,2022,19346.93,21359.02,40911,Petrol,Individual,Automatic,0
gmc sierra,2013,2198.05,2751.75,257494,Petrol,Dealer,Manual,0
toyota prius,2013,2337.17,2766.03,152957,Diesel,Dealer,Manual,1
mercedes s-class,2023,25926.72,28403.52,15570,Diesel,Individual,Automatic,0
kia seltos,2010,2642.37,3165.56,353063,Petrol,Individual,Automatic,0
audi q5,2024,66622.64,70652.79,100,Petrol,Dealer,Manual,0
honda fit,2016,5946.82,6461.48,95581,Petrol,Individual,Manual,0
chevrolet equinox,2015,1439.75,1701.52,159645,Petrol,Dealer,Automatic,0
audi q3,2016,5434.26,6421.26,87560,Diesel,Individual,Manual,3
maruti swift,2021,2824.14,3516.78,37610,Petrol,Dealer,Manual,2
chevrolet equinox,2020,13115.01,14115.75,53010,Petrol,Dealer,Automatic,0
chevrolet silverado,2017,2502.2,2622.48,85453,Diesel,Dealer,Automatic,1
hyundai grand i10,2016,578.86,665.89,79374,Petrol,Individual,Manual,0
mazda mazda3,2017,5014.63,6465.39,131701,Diesel,Dealer,Manual,0
honda civic,2021,13523.07,16148.76,59079,Diesel,Dealer,Manual,2
toyota corolla,2019,10008.46,11349.54,53152,Petrol,Individual,Manual,0
mercedes e-class,2015,5077.84,6228.93,144396,Petrol,Individual,Manual,1
maruti s-cross,2018,1778.87,2234.73,103668,Diesel,Individual,Manual,0
nissan frontier,2016,1286.13,1637.78,138582,Petrol,Dealer,Manual,0
ford edge,2023,9637.73,11054.08,12793,Petrol,Individual,Manual,0
tata tiago,2022,8029.14,9659.73,32303,Petrol,Individual,Manual,3
chevrolet silverado,2012,3860.82,4931.21,110991,Diesel,Dealer,Manual,2
mazda mazda3,2023,15749.0,17909.52,25781,Petrol,Dealer,Automatic,1
tata tigor,2018,3230.01,3463.77,45746,Petrol,Individual,Automatic,0
toyota sequoia,2021,15095.34,18852.6,35162,Petrol,Individual,Manual,3
maruti vitara brezza,2018,6986.97,8299.01,158247,Petrol,Individual,Manual,1
kia telluride,2022,11166.68,11851.38,33523,Petrol,Dealer,Manual,1
ford escape,2024,25599.54,30208.51,100,Diesel,Dealer,Automatic,2
audi a4,2017,11689.69,14522.11,168807,Petrol,Dealer,Manual,2
maruti xl6,2016,2652.23,3444.33,197286,Petrol,Dealer,Manual,0
hyundai verna,2018,1063.14,1400.01,127830,Diesel,Dealer,Manual,2
mercedes c-class,2019,25940.92,29019.73,88401,Petrol,Individual,Manual,1
mercedes glc,2017,11889.25,12275.37,70428,Diesel,Individual,Automatic,0
hyundai i20,2018,3302.98,3862.92,92439,Petrol,Individual,Manual,0
mazda mazda6,2022,10556.29,11400.06,32046,Petrol,Individual,Manual,0
nissan frontier,2017,3885.44,4682.34,133646,Diesel,Dealer,Automatic,0
nissan sentra,2021,8721.28,9306.42,37534,Petrol,Dealer,Manual,0
chevrolet camaro,2011,747.37,944.4,210945,Petrol,Dealer,Automatic,0
audi a8,2022,19225.04,21814.82,33895,Petrol,Individual,Manual,1
tata tigor,2020,5168.63,5492.24,32281,Petrol,Individual,Manual,0
mercedes gle,2014,6240.74,7664.63,142806,Petrol,Individual,Manual,0
mahindra xuv500,2018,8095.51,8728.63,90192,Petrol,Dealer,Manual,1
hyundai tucson,2017,1284.97,1566.46,155800,Diesel,Dealer,Automatic,0
mahindra marazzo,2022,6819.56,7336.87,35539,Diesel,Individual,Manual,1
chevrolet traverse,2020,4510.59,5144.39,47823,Petrol,Individual,Automatic,1
bmw x3,2019,14011.11,14931.96,81719,Petrol,Individual,Manual,1
audi q8,2019,23245.88,25009.02,97789,Diesel,Individual,Manual,0
